time,us_money_stock,can_money_stock,us_real_income,can_real_income,e
Q1-2000,36.82749,33.33357,13505641.9,1174797.3,1.452974
Q2-2000,36.6609,33.74926,13751618.5,1188624.1,1.479929
Q3-2000,36.44357,34.61238,13765635.9,1200808.2,1.481825
Q4-2000,36.18211,35.15432,13847822.1,1203183.1,1.525696
Q1-2001,36.48108,35.63534,13802429.1,1209955.7,1.528099
Q2-2001,37.08344,35.726,13888625.7,1213760.9,1.541224
Q3-2001,38.55512,36.18494,13832982.4,1212907.7,1.544989
Q4-2001,38.83203,36.8636,13870992,1220182.1,1.579304
Q1-2002,39.43549,37.51757,13987003.3,1238023.5,1.59385
Q2-2002,39.37922,37.8101,14072702.6,1245338.3,1.553982
Q3-2002,39.52043,38.61699,14129909.7,1256106.8,1.5629
Q4-2002,40.08859,39.04845,14147375,1263005.9,1.569414
Q1-2003,40.87187,39.23767,14221881,1270032.9,1.509045
Q2-2003,41.91992,40.28564,14347833.1,1268190.8,1.397331
Q3-2003,42.81684,41.01244,14586466.2,1272932.1,1.379448
Q4-2003,43.05954,41.58206,14755774.5,1281682.5,1.315608
Q1-2004,43.64425,42.80946,14839388.3,1291002.3,1.317545
Q2-2004,44.22564,43.82129,14954386.5,1306298.8,1.358859
Q3-2004,44.76401,44.5111,15096242.9,1321743.6,1.307547
Q4-2004,45.36967,45.63358,15250256,1331282.8,1.220425
Q1-2005,45.33216,47.12057,15419436.7,1335945,1.226024
Q2-2005,45.28142,48.34746,15495396.6,1345600.5,1.24362
Q3-2005,45.51199,49.13355,15616851.7,1361907.7,1.203396
Q4-2005,45.52854,49.53841,15703605.9,1375433.6,1.173789
Q1-2006,45.68519,50.53435,15914879.7,1386600.8,1.154456
Q2-2006,45.71719,51.47005,15956059.9,1387294.2,1.122387
Q3-2006,45.33327,52.63922,15979986.9,1391199.4,1.121242
Q4-2006,45.31672,53.99294,16117326.9,1396739.6,1.139186
Q1-2007,45.24501,55.35192,16165813.6,1405653.7,1.171588
Q2-2007,45.53074,56.70272,16264709.9,1419228.4,1.098642
Q3-2007,45.49434,58.80284,16358398.8,1424546,1.045316
Q4-2007,45.50316,60.61682,16461168.2,1426418.3,0.9817216
Q1-2008,45.74808,62.26366,16390917.9,1427488.6,1.004929
Q2-2008,46.21804,64.25877,16488514,1432689.9,1.010633
Q3-2008,47.33339,65.58131,16401906.8,1444462.8,1.042465
Q4-2008,50.63862,66.70789,16042864.7,1427702.7,1.212207
Q1-2009,52.16988,66.41655,15860798.3,1395485.4,1.245445
Q2-2009,53.924,66.46263,15832462.8,1380432.4,1.16704
Q3-2009,55.02169,66.89314,15888065.3,1386606.2,1.097183
Q4-2009,55.75092,67.38306,16059801.5,1402717.2,1.055834
