time,us_money_stock,ind_money_stock,us_real_income,ind_real_income,e
Q1-2000,36.82749,14.47199,13505641.9,2445339.4,43.58444
Q2-2000,36.6609,14.62771,13751618.5,2448638.3,44.10013
Q3-2000,36.44357,14.98828,13765635.9,2481148.7,45.45297
Q4-2000,36.18211,15.53469,13847822.1,2482188.1,46.62887
Q1-2001,36.48108,15.85188,13802429.1,2495608.3,46.5598
Q2-2001,37.08344,16.35867,13888625.7,2547551.2,46.90284
Q3-2001,38.55512,16.89244,13832982.4,2579060.9,47.30471
Q4-2001,38.83203,17.17746,13870992,2638273.1,47.9783
Q1-2002,39.43549,17.58937,13987003.3,2659566.5,48.58888
Q2-2002,39.37922,18.19905,14072702.6,2676155.9,48.96021
Q3-2002,39.52043,18.80005,14129909.7,2692040.5,48.59821
Q4-2002,40.08859,19.32597,14147375,2694146.8,48.29398
Q1-2003,40.87187,19.85832,14221881,2754794.6,47.77156
Q2-2003,41.91992,20.56288,14347833.1,2824579,47.05939
Q3-2003,42.81684,21.34157,14586466.2,2898925.2,46.00319
Q4-2003,43.05954,22.37611,14755774.5,2994102.9,45.499
Q1-2004,43.64425,23.38307,14839388.3,3005016.1,45.248
Q2-2004,44.22564,24.35859,14954386.5,3076480.6,44.89623
Q3-2004,44.76401,25.10471,15096242.9,3150243.4,46.1592
Q4-2004,45.36967,26.29709,15250256,3211251.5,44.96243
Q1-2005,45.33216,26.86185,15419436.7,3267479.5,43.70827
Q2-2005,45.28142,28.11058,15495396.6,3370957.3,43.60457
Q3-2005,45.51199,29.69218,15616851.7,3417861.3,43.69187
Q4-2005,45.52854,31.14096,15703605.9,3504261.7,45.3952
Q1-2006,45.68519,32.87873,15914879.7,3592063.5,44.4023
Q2-2006,45.71719,34.80457,15956059.9,3643659.3,45.47083
Q3-2006,45.33327,35.6226,15979986.9,3764009.2,46.37043
Q4-2006,45.31672,37.20228,16117326.9,3828422.2,44.98447
Q1-2007,45.24501,38.84509,16165813.6,3935365.2,44.17227
Q2-2007,45.53074,39.45238,16264709.9,4034542.3,41.2344
Q3-2007,45.49434,41.08479,16358398.8,4106941.2,40.52503
Q4-2007,45.50316,43.18911,16461168.2,4245627.9,39.46243
Q1-2008,45.74808,45.86034,16390917.9,4271352.2,39.8208
Q2-2008,46.21804,47.18686,16488514,4315939.3,41.65587
Q3-2008,47.33339,48.34592,16401906.8,4353498.3,43.77963
Q4-2008,50.63862,48.96835,16042864.7,4358834.5,48.76443
Q1-2009,52.16988,50.5064,15860798.3,4278364.4,49.77453
Q2-2009,53.924,53.1506,15832462.8,4526666,48.7891
Q3-2009,55.02169,55.25169,15888065.3,4642271.8,48.41742
Q4-2009,55.75092,56.97733,16059801.5,4741000.3,46.64002
Q1-2010,56.11387,59.7403,16137611.4,4864274.8,45.92807
Q2-2010,56.71292,62.23227,16293756.7,4981142.2,45.62518
Q3-2010,57.79628,65.24438,16419395.4,5128383.8,46.4875
Q4-2010,60.07552,68.14156,16505615.3,5247417,44.8625
Q1-2011,61.92229,68.2218,16466463.2,5343478.4,45.2736
Q2-2011,64.00848,68.09978,16577872.4,5408222.4,44.70823
Q3-2011,68.74567,68.58318,16574173.4,5408014.2,45.77747
Q4-2011,71.44634,70.13769,16760309.5,5496105.1,50.92257
Q1-2012,73.217,72.74516,16900859.9,5571994.4,50.27753
Q2-2012,74.67435,74.19604,16976294.3,5636515.2,54.1022
Q3-2012,77.83946,76.07121,17000744.9,5737634.1,55.22003
Q4-2012,80.77732,76.72608,17020404.7,5805732.3,54.14917
Q1-2013,81.87943,78.80599,17188321.3,5898550.6,54.16503
Q2-2013,83.28603,80.9712,17234323.5,5981355.4,55.92793
Q3-2013,84.7169,82.95,17381055.4,6077124.1,62.24545
Q4-2013,87.64153,84.52779,17532573.4,6210888.8,62.05297
Q1-2014,90.15134,86.73035,17472069.1,6282873.6,61.78133
Q2-2014,92.4416,89.64105,17697780.7,6426730.1,59.79744
Q3-2014,93.87247,91.53161,17912878,6544069.1,60.60623
Q4-2014,96.16496,93.70819,18003469.4,6644452.2,61.93305
Q1-2015,98.6527,95.48389,18165587.9,6756363.9,62.23779
Q2-2015,99.23078,98.56953,18278106.5,6901068.4,63.47141
Q3-2015,100.5425,101.1668,18351263.7,7028477.6,64.97504
Q4-2015,101.574,104.7797,18385117.9,7171333.3,65.92354
Q1-2016,103.4451,107.3991,18491663.3,7379474.9,67.50395
Q2-2016,106.8043,111.7634,18551044.4,7510896.6,66.89104
Q3-2016,109.109,116.3661,18682643.8,7683014,66.96166
Q4-2016,110.6855,105.4547,18786201.5,7787798.3,67.42459
Q1-2017,112.9978,95.64507,18877669.7,7850076.9,67.01083
Q2-2017,115.8,111.3233,18983360.5,8011685.2,64.45831
Q3-2017,118.077,118.0233,19133048.9,8143730.5,64.28841
Q4-2017,119.6921,123.9014,19348687.3,8296708.4,64.72874
Q1-2018,120.6,128.1751,19506071.4,8474798.1,64.34402
Q2-2018,121.0104,134.5651,19609614.6,8585743.9,66.98959
Q3-2018,122.1291,138.0855,19731919.2,8705877.2,70.15172
Q4-2018,123.5467,142.7357,19759868.3,8834603.9,72.07254
Q1-2019,123.9351,147.2644,19867184.4,8925757.8,70.47776
Q2-2019,125.7719,151.8213,20032016.1,9055198.1,69.54646
Q3-2019,128.1394,154.4826,20258813.7,9105709.9,70.42922
Q4-2019,131.3244,159.848,20388737.2,9119400.4,71.22791
Q1-2020,134.8238,165.6364,20110866.3,9128684.3,72.38433
Q2-2020,414.7908,173.439,18523913.8,7070196.9,75.8744
Q3-2020,560.4801,183.5516,19961225.6,8665169.5,74.38235
Q4-2020,582.4263,189.2542,20167869.1,9211952.7,73.75718
Q1-2021,607.8334,196.8549,20427131.3,9338645.3,72.88622
Q2-2021,635.0011,200.8382,20737571.9,8637133.3,73.76607
Q3-2021,652.3745,207.5164,20906452.9,9443654,74.09165
Q4-2021,670.5422,214.1247,21261187.8,9630254.2,74.92811
Q1-2022,680.7249,219.8758,21155375.3,9677898.8,75.22974
Q2-2022,682.8607,223.4158,21125488.6,9769430.1,77.18723
Q3-2022,676.8173,226.7655,21264625,9963115.9,79.79605
Q4-2022,660.6608,234.0823,21399745.2,10076794,82.20495
Q1-2023,637.7503,238.5645,21518809.2,10286444.9,82.26557
Q2-2023,613.8481,242.1682,21628796.6,10480601.6,82.19926
Q3-2023,605.6953,N/A,21902268.8,10662560,82.6616
