time,us_money_stock,jpn_money_stock,us_real_income,jpn_real_income,e
Q1-2000,36.82749,46.08423,13505641.9,4637468.7,107.1281
Q2-2000,36.6609,46.54941,13751618.5,4659026.8,106.6934
Q3-2000,36.44357,46.73624,13765635.9,4660429,107.6931
Q4-2000,36.18211,47.49039,13847822.1,4705388.9,109.8243
Q1-2001,36.48108,48.2742,13802429.1,4740768.1,118.0008
Q2-2001,37.08344,49.67321,13888625.7,4704856.4,122.6429
Q3-2001,38.55512,51.20995,13832982.4,4654018,121.7222
Q4-2001,38.83203,53.61693,13870992,4637443.6,123.5693
Q1-2002,39.43549,57.70396,13987003.3,4645945.8,132.4983
Q2-2002,39.37922,65.51398,14072702.6,4683052,126.7904
Q3-2002,39.52043,66.95575,14129909.7,4698264.7,119.2769
Q4-2002,40.08859,68.36639,14147375,4710926.3,122.4541
Q1-2003,40.87187,68.95554,14221881,4714112.4,118.9606
Q2-2003,41.91992,68.90858,14347833.1,4746254.3,118.5353
Q3-2003,42.81684,70.37589,14586466.2,4760564.5,117.4293
Q4-2003,43.05954,71.12598,14755774.5,4812263.9,108.8201
Q1-2004,43.64425,71.6036,14839388.3,4847540.7,107.1529
Q2-2004,44.22564,71.94114,14954386.5,4848325.4,109.7273
Q3-2004,44.76401,73.29423,15096242.9,4877981.7,109.9283
Q4-2004,45.36967,74.14409,15250256,4868786.6,105.7791
Q1-2005,45.33216,74.72783,15419436.7,4893660.3,104.5428
Q2-2005,45.28142,75.30989,15495396.6,4931911.6,107.5296
Q3-2005,45.51199,76.67387,15616851.7,4981554.6,111.2355
Q4-2005,45.52854,77.81941,15703605.9,4990666.6,117.2254
Q1-2006,45.68519,78.30416,15914879.7,4998316.5,116.8868
Q2-2006,45.71719,78.54729,15956059.9,5006163.5,114.4991
Q3-2006,45.33327,78.49258,15979986.9,4995934.4,116.2536
Q4-2006,45.31672,78.19376,16117326.9,5063859.4,117.7781
Q1-2007,45.24501,78.30394,16165813.6,5096805.2,119.381
Q2-2007,45.53074,78.30969,16264709.9,5098947.7,120.8052
Q3-2007,45.49434,78.18909,16358398.8,5071312.1,117.7428
Q4-2007,45.50316,78.49482,16461168.2,5093589.1,113.0914
Q1-2008,45.74808,78.32085,16390917.9,5110961.8,105.2355
Q2-2008,46.21804,77.83364,16488514,5081752.9,104.6295
Q3-2008,47.33339,77.81264,16401906.8,5019047.3,107.6065
Q4-2008,50.63862,77.74026,16042864.7,4894773.6,96.08105
Q1-2009,52.16988,78.06076,15860798.3,4658559,93.63293
Q2-2009,53.924,78.28996,15832462.8,4750597.2,97.35266
Q3-2009,55.02169,78.38544,15888065.3,4749085.8,93.51322
Q4-2009,55.75092,78.58061,16059801.5,4807209.7,89.78737
Q1-2010,56.11387,78.87467,16137611.4,4857022.8,90.64699
Q2-2010,56.71292,79.59705,16293756.7,4916477.5,92.1047
Q3-2010,57.79628,80.123,16419395.4,5005520.9,85.7492
Q4-2010,60.07552,80.90516,16505615.3,4964426.5,82.54171
Q1-2011,61.92229,81.79375,16466463.2,4911470.7,82.25771
Q2-2011,64.00848,83.54372,16577872.4,4869796.5,81.54856
Q3-2011,68.74567,84.2529,16574173.4,4987856.4,77.69718
Q4-2011,71.44634,85.07742,16760309.5,4981300.4,77.32355
Q1-2012,73.217,85.73133,16900859.9,5049614.9,79.3027
Q2-2012,74.67435,86.22857,16976294.3,5003966.9,80.08048
Q3-2012,77.83946,87.06191,17000744.9,4984896.3,78.60487
Q4-2012,80.77732,87.81922,17020404.7,4982225.3,81.26624
Q1-2013,81.87943,89.00736,17188321.3,5050015.9,92.30058
Q2-2013,83.28603,90.15114,17234323.5,5095735.5,98.75446
Q3-2013,84.7169,91.59065,17381055.4,5144942.6,98.92342
Q4-2013,87.64153,92.76376,17532573.4,5139410.1,100.4138
Q1-2014,90.15134,93.8662,17472069.1,5179540,102.8301
Q2-2014,92.4416,94.3993,17697780.7,5086877.6,102.1309
Q3-2014,93.87247,95.36041,17912878,5091827.4,103.9634
Q4-2014,96.16496,96.95594,18003469.4,5115530.8,114.4656
Q1-2015,98.6527,98.34708,18165587.9,5193194,119.1333
Q2-2015,99.23078,99.42895,18278106.5,5201561,121.3015
Q3-2015,100.5425,100.5841,18351263.7,5207230.7,122.1823
Q4-2015,101.574,101.6399,18385117.9,5198147.7,121.3922
Q1-2016,103.4451,103.229,18491663.3,5235567,115.4171
Q2-2016,106.8043,106.2219,18551044.4,5228585.8,107.9805
Q3-2016,109.109,108.2079,18682643.8,5239180.3,102.4372
Q4-2016,110.6855,110.439,18786201.5,5246927.7,109.376
Q1-2017,112.9978,112.8209,18877669.7,5287961.3,113.7092
Q2-2017,115.8,114.3631,18983360.5,5308703.7,111.0596
Q3-2017,118.077,116.2974,19133048.9,5352238.2,111.0322
Q4-2017,119.6921,118.4046,19348687.3,5358812.5,112.9312
Q1-2018,120.6,120.1372,19506071.4,5362887.7,108.355
Q2-2018,121.0104,121.578,19609614.6,5382128.4,109.1073
Q3-2018,122.1291,123.4898,19731919.2,5352072,111.484
Q4-2018,123.5467,125.0522,19759868.3,5345127.5,112.8049
Q1-2019,123.9351,126.6588,19867184.4,5357424.7,110.2274
Q2-2019,125.7719,128.293,20032016.1,5377410.5,109.925
Q3-2019,128.1394,129.4993,20258813.7,5385259.4,107.331
Q4-2019,131.3244,131.8168,20388737.2,5237217.5,108.7
Q1-2020,134.8238,134.2979,20110866.3,5263959.2,108.9518
Q2-2020,414.7908,140.5313,18523913.8,4855562.6,107.5389
Q3-2020,560.4801,147.3303,19961225.6,5123410.7,106.0992
Q4-2020,582.4263,150.3349,20167869.1,5218241.7,104.4598
Q1-2021,607.8334,153.5517,20427131.3,5232745.1,105.9093
Q2-2021,635.0011,156.0001,20737571.9,5252291.2,109.4164
Q3-2021,652.3745,158.2455,20906452.9,5229527.1,110.0615
Q4-2021,670.5422,160.9711,21261187.8,5288205.8,113.6739
Q1-2022,680.7249,163.3348,21155375.3,5256654.4,116.1973
Q2-2022,682.8607,164.9243,21125488.6,5313518.2,129.6808
Q3-2022,676.8173,166.9117,21264625,5308416.7,138.4197
Q4-2022,660.6608,168.884,21399745.2,5321585.5,141.4153
Q1-2023,637.7503,170.5411,21518809.2,5386902.3,132.3739
Q2-2023,613.8481,172.1559,21628796.6,5434329.4,137.3705
Q3-2023,605.6953,173.8725,21902268.8,5394730,144.4574
