time,us_money_stock,can_money_stock,us_real_income,can_real_income,e
Q2-1973,8.431864,2.912826,5960117.4,545974.9,0.9997973
Q3-1973,8.528947,3.046734,5928776.8,548513.5,1.003491
Q4-1973,8.637062,3.244416,5985054.6,558630.5,0.9995943
Q1-1974,8.779377,3.466877,5933600.7,563253.9,0.9797859
Q2-1974,8.862118,3.676879,5947704.7,569031.5,0.9651092
Q3-1974,8.940446,3.88938,5891482.4,569140.8,0.9803391
Q4-1974,9.048561,4.002075,5868599.6,566175.7,0.985819
Q1-1975,9.104825,4.13519,5797141.5,563091.1,0.9983408
Q2-1975,9.242726,4.223451,5838573.7,570315.1,1.021738
Q3-1975,9.415931,4.377261,5938532.7,581256.6,1.03067
Q4-1975,9.479918,4.540031,6018530.3,587982.7,1.017404
Q1-1976,9.618922,4.757478,6153915.1,598229.3,0.9953805
Q2-1976,9.783301,5.051071,6199046.4,611130,0.978824
Q3-1976,9.88259,5.253664,6232980.4,613951.7,0.9773308
Q4-1976,10.0591,5.466527,6278020.2,614943.7,0.9920114
Q1-1977,10.30071,5.681716,6352492.1,624375.9,1.030062
Q2-1977,10.5026,5.918721,6475852.6,627562.1,1.052308
Q3-1977,10.66808,6.117419,6592623,631250.9,1.069754
Q4-1977,10.87659,6.316945,6592754.3,641253.9,1.101583
Q1-1978,11.10605,6.498791,6613840.7,646791.7,1.113274
Q2-1978,11.38186,6.76888,6869450.6,651194.1,1.126635
Q3-1978,11.57713,7.015224,6938540.1,657268.7,1.14494
Q4-1978,11.76026,7.380967,7031802.7,663500.7,1.177843
Q1-1979,11.92574,7.733182,7044431.4,668794.2,1.185575
Q2-1979,12.25671,8.070647,7051951,677666.4,1.157677
Q3-1979,12.52479,8.432633,7104333.2,682634.2,1.1662
Q4-1979,12.61415,8.787399,7122097.3,687214.2,1.174755
Q1-1980,12.84472,9.14992,7144501.4,691985.7,1.164365
Q2-1980,12.77191,9.542939,6997293.6,691683.3,1.170187
Q3-1980,13.2165,9.804603,6988976.9,691108.5,1.158669
Q4-1980,13.54967,10.07867,7119316,700671,1.184302
Q1-1981,13.73612,10.56404,7258813.5,715765.9,1.193545
Q2-1981,14.09135,10.75734,7205020.2,723591.8,1.198721
Q3-1981,14.12996,11.21464,7291300.4,717086,1.211883
Q4-1981,14.30207,11.26549,7211854.7,713788.1,1.191424
Q1-1982,14.64296,11.24119,7099808.1,705619.4,1.209041
Q2-1982,14.79741,11.36795,7132195.8,697495.7,1.244382
Q3-1982,14.96289,11.49996,7104931.7,691310.2,1.249191
Q4-1982,15.56414,11.59637,7107774.3,684930.8,1.231156
Q1-1983,16.01977,11.6821,7201439.9,696124.4,1.22721
Q2-1983,16.51732,11.60549,7365310.1,709857.3,1.231027
Q3-1983,16.89131,11.65303,7512539.3,717832.2,1.232839
Q4-1983,17.18366,11.741,7669264.6,726756.3,1.238522
Q1-1984,17.47491,11.79846,7819182.7,739343.7,1.25544
Q2-1984,17.78271,12.01943,7954279.5,753691.7,1.292028
Q3-1984,17.92723,12.26224,8030959.6,756932.2,1.313888
Q4-1984,18.1236,12.45111,8096875.5,768745.5,1.318858
Q1-1985,18.61343,12.6621,8175332.5,780556.5,1.35349
Q2-1985,19.06133,12.85987,8247314.2,783067.1,1.369767
Q3-1985,19.73208,13.05407,8373273.1,793008.1,1.360676
Q4-1985,20.29693,13.29729,8435524.1,805098.3,1.379592
Q1-1986,20.74153,13.65214,8514290.6,804690.4,1.402799
Q2-1986,21.55239,13.87176,8552630.1,809315.3,1.384566
Q3-1986,22.46585,14.06145,8634450.4,810332.9,1.385505
Q4-1986,23.4433,14.55634,8680765,804467,1.384923
Q1-1987,24.21224,15.0568,8745162.8,823061.5,1.337826
Q2-1987,24.63366,15.49876,8839451.2,833605.1,1.333424
Q3-1987,24.66235,15.79515,8916105,846341.4,1.322303
Q4-1987,24.92822,15.93252,9069190.6,857275.1,1.311386
Q1-1988,25.10584,16.13718,9116067.7,869765.6,1.26742
Q2-1988,25.5736,16.66893,9235855.8,877483.7,1.230183
Q3-1988,25.90788,17.32058,9289975.1,877614,1.219368
Q4-1988,25.97959,17.73073,9413759.9,883636.6,1.207786
Q1-1989,25.95311,18.17773,9509440.9,893846.7,1.192003
Q2-1989,25.67951,18.75179,9582007.4,897323.8,1.193193
Q3-1989,25.79535,19.31077,9652984.8,900563.5,1.182451
Q4-1989,26.11749,19.93168,9671999.3,898771,1.168734
Q1-1990,26.42197,20.43848,9777702.9,907414.4,1.183076
Q2-1990,26.68785,20.86631,9813193,903773.7,1.170375
Q3-1990,26.98461,21.25628,9819726.8,897296.6,1.153383
Q4-1990,27.21298,21.64902,9730327.5,889307,1.161424
Q1-1991,27.5638,22.08028,9684795.4,876513.4,1.155998
Q2-1991,28.11651,22.37858,9760306.7,880720.3,1.149253
Q3-1991,28.6626,22.40494,9809631.2,881888.3,1.143939
Q4-1991,29.37417,22.71837,9843822.2,883438,1.135402
