time,us_money_stock,jpn_money_stock,us_real_income,jpn_real_income,e
Q2-1973,8.431864,6.956464,5960117.4,2057539.1,265.0153
Q3-1973,8.528947,7.179992,5928776.8,2063540.5,265.1018
Q4-1973,8.637062,7.347092,5985054.6,2089040.4,274.6994
Q1-1974,8.779377,7.536506,5933600.7,2017261.4,290.0332
Q2-1974,8.862118,7.816096,5947704.7,2031791.8,279.8347
Q3-1974,8.940446,8.044201,5891482.4,2057791.8,297.3178
Q4-1974,9.048561,8.277376,5868599.6,2046631.4,299.9677
Q1-1975,9.104825,8.549837,5797141.5,2049309.5,293.3888
Q2-1975,9.242726,8.783843,5838573.7,2094807.1,292.3713
Q3-1975,9.415931,9.007067,5938532.7,2118648.9,297.9738
Q4-1975,9.479918,9.17011,6018530.3,2140926.7,303.5379
Q1-1976,9.618922,9.631086,6153915.1,2159067.3,302.3296
Q2-1976,9.783301,9.973976,6199046.4,2171823.1,299.1741
Q3-1976,9.88259,10.21521,6232980.4,2202359.1,291.0419
Q4-1976,10.0591,10.48178,6278020.2,2204978,293.5952
Q1-1977,10.30071,10.60283,6352492.1,2253206.6,285.4741
Q2-1977,10.5026,10.51157,6475852.6,2269064.4,275.1648
Q3-1977,10.66808,10.84465,6592623,2284532.3,266.1699
Q4-1977,10.87659,11.14091,6592754.3,2315521,247.0963
Q1-1978,11.10605,11.39159,6613840.7,2359265.4,237.673
Q2-1978,11.38186,11.56307,6869450.6,2382197.5,220.7623
Q3-1978,11.57713,12.09902,6938540.1,2413006.1,192.8543
Q4-1978,11.76026,12.39431,7031802.7,2447827.2,190.4643
Q1-1979,11.92574,12.66931,7044431.4,2484436.5,201.5037
Q2-1979,12.25671,13.17814,7051951,2529831,217.7881
Q3-1979,12.52479,13.29407,7104333.2,2549125.1,218.8595
Q4-1979,12.61415,13.38669,7122097.3,2560204.8,238.6388
Q1-1980,12.84472,13.60073,7144501.4,2569999,243.554
Q2-1980,12.77191,13.78128,6997293.6,2556451.1,232.556
Q3-1980,13.2165,13.26057,6988976.9,2613713.8,219.9333
Q4-1980,13.54967,13.24155,7119316,2669268,210.7424
Q1-1981,13.73612,13.41563,7258813.5,2685632.7,205.6565
Q2-1981,14.09135,13.71732,7205020.2,2718498.5,219.9938
Q3-1981,14.12996,14.12551,7291300.4,2712452.1,231.9766
Q4-1981,14.30207,14.41322,7211854.7,2732251.4,224.7415
Q1-1982,14.64296,14.32653,7099808.1,2774123.1,233.5351
Q2-1982,14.79741,14.6232,7132195.8,2793169.2,244.1238
Q3-1982,14.96289,14.86337,7104931.7,2805375.5,258.7984
Q4-1982,15.56414,15.08685,7107774.3,2844359.1,259.8507
Q1-1983,16.01977,15.1945,7201439.9,2846152.8,235.6962
Q2-1983,16.51732,15.2166,7365310.1,2867554.5,237.5308
Q3-1983,16.89131,15.28961,7512539.3,2910460.3,242.5088
Q4-1983,17.18366,15.35574,7669264.6,2934708.2,234.1728
Q1-1984,17.47491,15.41636,7819182.7,2968506.5,231.0377
Q2-1984,17.78271,15.54445,7954279.5,3013462.3,229.6845
Q3-1984,17.92723,15.78584,8030959.6,3050288.8,243.4431
Q4-1984,18.1236,16.03969,8096875.5,3055553.7,246.0491
Q1-1985,18.61343,16.35857,8175332.5,3130432.2,257.6343
Q2-1985,19.06133,16.28134,8247314.2,3193821.9,250.8164
Q3-1985,19.73208,16.52941,8373273.1,3235614.9,238.7073
Q4-1985,20.29693,16.79296,8435524.1,3278597.7,207.3347
Q1-1986,20.74153,17.01047,8514290.6,3291634.9,187.8271
Q2-1986,21.55239,17.36127,8552630.1,3283547.7,170.0806
Q3-1986,22.46585,17.83055,8634450.4,3302782.4,155.8463
Q4-1986,23.4433,18.32879,8680765,3328832.1,160.3227
Q1-1987,24.21224,18.72406,8745162.8,3326444.5,153.1811
Q2-1987,24.63366,19.31428,8839451.2,3396153.3,142.6474
Q3-1987,24.66235,19.88371,8916105,3464085.8,146.9456
Q4-1987,24.92822,20.02141,9069190.6,3553279,135.7138
Q1-1988,25.10584,20.40765,9116067.7,3638103.3,127.9762
Q2-1988,25.5736,21.06033,9235855.8,3632791.8,125.5945
Q3-1988,25.90788,21.20637,9289975.1,3713837.5,133.7614
Q4-1988,25.97959,21.81397,9413759.9,3752974.8,125.2061
Q1-1989,25.95311,22.28365,9509440.9,3854231.5,128.4601
Q2-1989,25.67951,22.20731,9582007.4,3803905.6,137.9889
Q3-1989,25.79535,21.82653,9652984.8,3870461.7,142.3049
Q4-1989,26.11749,21.63334,9671999.3,3990378.4,143.1429
Q1-1990,26.42197,22.40154,9777702.9,3971393.6,147.944
Q2-1990,26.68785,22.49902,9813193,4096650.2,155.1986
Q3-1990,26.98461,22.60692,9819726.8,4165340.4,145.2314
Q4-1990,27.21298,22.68101,9730327.5,4157427.1,130.8081
Q1-1991,27.5638,22.92434,9684795.4,4193651.5,133.6909
Q2-1991,28.11651,23.28549,9760306.7,4243405.4,138.2727
Q3-1991,28.6626,24.07911,9809631.2,4234011.4,136.4801
Q4-1991,29.37417,24.57657,9843822.2,4263748.3,129.5414
